LONGITUDE,LAT,LABEL,NAME,Substation,PrimaryFee,PrimaySubs,County,InternalSb,CustomersS,PhysicalLo
36.15714361,0.374653889,141143 - KENCHIC,141143 - KENCHIC,141143,GILGIL /MARULA EX LANET,LANET SUBSTATION,Nakuru,300718338,0,KENCHIC
36.08901889,0.281909167,141332 - WOODBURN LODGE LTD,141332 - WOODBURN LODGE LTD,141332,NORTH 11Kv EX LANET,LANET SUBSTATION,Nakuru,300718540,0,NAKURU MILIMANI
35.65342083,0.466718389,141538 - 141538,141538 - 141538,141538,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300708287,0,Tegat Dairy Farmers Cooperati
35.68290639,0.471814167,141539 - 141539,141539 - 141539,141539,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300708288,0,chebara cattle dip
35.685758,0.452696528,141540 - 141540,141540 - 141540,141540,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300708290,0,ndabibit primary school
35.68002583,0.477082222,141541 - 141541,141541 - 141541,141541,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300708289,24,chebara dispensary
35.73336222,0.527428056,141542 - 141542,141542 - 141542,141542,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300708291,0,bandiat primary school
35.67477333,0.433659028,141545 - 141545,141545 - 141545,141545,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300708286,3,kapsebut area
35.71127111,0.539294167,141552 - 141552,141552 - 141552,141552,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300708292,3,ribot primary school
35.73282194,0.2732075,141556 - 141556,141556 - 141556,141556,MOLO 11KV EX ELBURGON,ELBURGON,Nakuru,300708357,0,mwangaza primary school
35.63271444,0.619916111,141558 - SIMOTWET VILLAGE,141558 - SIMOTWET VILLAGE,141558,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300708304,3,simotwet village
35.65833528,0.674519722,141559 - NYAMBUGO MARKET,141559 - NYAMBUGO MARKET,141559,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300708303,0,lelaitich market
35.62476361,0.614474722,141561 - SEGER PRIMARY SCHOOL,141561 - SEGER PRIMARY SCHOOL,141561,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300708306,0,seger primary school
35.60325944,0.621418889,141562 - 141562,141562 - 141562,141562,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300708307,0,damsons academy
35.60000817,0.594947778,141563 - 141563,141563 - 141563,141563,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300708308,0,sukutek secondary school
35.61634806,0.618394417,141564 - 141564,141564 - 141564,141564,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300708305,0,seger polytechnic
35.62599083,0.573231667,141604 - 141604,141604 - 141604,141604,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300708309,0,kiptagich village
35.67296278,0.5710375,141613 - 141613,141613 - 141613,141613,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300708310,0,westlands academy
35.67309278,0.581486944,141614 - 141614,141614 - 141614,141614,RONGAI OLENGURUONE33K EX SOILO,NAKURU WEST (SOILO)  SUBSTATION,Nakuru,300708311,0,off siani primary school
